## vehicles
"make","model","note","distance","volume","consumption"
"Toyota","Prius","","2","2","2" 
## fillups
"make","model","date","mileage","fuel","price","partial","note" 
"Toyota","Prius","2011-11-22","145649","9.106","3.049","0","Kwik Trip Dodd Rd  MasterCard 0.0 Tank mpg 39.5 $27.76 "
"Toyota","Prius","2011-12-03","146047","1.515","3.300","1","Kwik Trip Dodd Rd  MasterCard 0.0 Tank mpg 39.9 $5.00 "
"Toyota","Prius","2011-12-03","146047","1.500","3.333","1","Holiday Industrial blvd  MasterCard 0.0 Tank mpg 39.9 $5.00 "
"Toyota","Prius","2011-12-03","146071","9.601","3.249","0","Holiday Diffley  MasterCard 0.0 Tank mpg 39.8 $31.19 "
"Toyota","Prius","2011-12-10","146411","1.000","3.180","1","Holiday Industrial blvd  MasterCard 0.0 Tank mpg 35.7 $3.18 "
"Toyota","Prius","2011-12-10","146419","8.014","3.149","0","Kwik Trip Florence trail  MasterCard 0.0 Tank mpg 35.7 $25.24 "
"Toyota","Prius","2011-12-16","146783","9.154","3.199","0","Kwik Trip Florence trail  MasterCard 0.0 Tank mpg 40.3 $29.28 "
"Toyota","Prius","2011-12-26","147099","8.203","3.099","0","Holiday Diffley  MasterCard 0.0 Tank mpg 36.7 $25.42 "
"Toyota","Prius","2011-12-31","147216","3.900","3.131","0","Holiday Diffley  MasterCard 0.0 Tank mpg  $12.21 "
"Toyota","Prius","2012-01-09","147555","9.104","3.228","0","Holiday Diffley  MasterCard 0.0 Tank mpg 38.7 $29.39 "
"Toyota","Prius","2012-01-18","147922","10.004","3.219","0","Holiday Diffley  MasterCard 0.0 Tank mpg 36.7 $32.20 "
"Toyota","Prius","2012-01-25","148236","1.500","3.367","1","Holiday Industrial blvd  MasterCard 0.0 Tank mpg 33.8 $5.05 "
"Toyota","Prius","2012-01-25","148277","8.700","3.200","0","Holiday Diffley  MasterCard 0.0 Tank mpg 34.1 $27.84 "
"Toyota","Prius","2012-02-01","148605","8.194","3.399","0","Kwik Trip Florence trail  MasterCard 0.0 Tank mpg 38.4 $27.85 "
"Toyota","Prius","2012-02-08","148892","7.534","3.300","0","Lone oak market Lone oak  MasterCard 0.0 Tank mpg 38.3 $24.86 "
"Toyota","Prius","2012-02-15","149220","8.902","3.299","0","Sam's Club Lone oak  MasterCard 0.0 Tank mpg 37.8 $29.37 "
